product_type,ram,storage,color,merchant_city,price,daily_view,brand_asus,brand_honor,brand_huawei,brand_infinix,brand_nokia,brand_oppo,brand_realme,brand_samsung,brand_vivo,brand_xiaomi,cod_True,merchant_badge_PM,merchant_badge_RM
171,2.1811991139920153,2.470153604008772,5,74,1.8088771334451148,2.037662394797851,False,False,False,False,False,False,False,True,False,False,False,True,False
265,-0.4001787346698652,-0.7066392746783967,9,113,0.3390164834318441,-0.5689932313606707,False,False,False,False,False,False,False,False,False,True,False,True,False
6,-1.4327298741346175,-0.7066392746783967,9,70,-0.4239346413846773,-0.7582313186063817,False,False,False,False,False,False,False,False,False,False,False,False,True
202,0.11609683506251094,0.6548433876161043,5,70,-0.4305869010624875,0.7940483199034759,False,False,False,False,False,False,False,False,True,False,False,True,False
18,-0.4001787346698652,2.470153604008772,3,70,2.111450001621371,-0.3147886017616418,False,False,False,False,False,False,False,False,False,False,False,False,True
251,-0.9164543044022413,-0.9335530517274802,9,4,-1.4558107967843394,-0.42764943972217256,False,False,False,False,False,False,False,False,False,True,False,True,False
213,1.1486479745272633,0.6548433876161043,1,70,0.29392248912711716,-0.4938927547767206,False,False,False,False,False,False,False,False,True,False,False,False,False
9,-1.4327298741346175,-0.9335530517274802,2,113,-0.27379675559739974,-0.883731298206345,False,False,False,False,False,False,False,False,False,False,False,True,False
209,-0.9164543044022413,-0.7066392746783967,7,98,-1.0057729222431964,0.0750499416679826,False,False,False,False,False,False,False,False,True,False,False,True,False
110,0.11609683506251094,-0.2528117205802297,9,81,-0.13558231434273635,-0.883731298206345,False,False,False,False,False,True,False,False,False,False,False,True,False
19,-0.4001787346698652,0.6548433876161043,9,71,1.7593018310948894,-0.883731298206345,False,False,False,False,False,False,False,False,False,False,False,True,False
123,-0.4001787346698652,-0.2528117205802297,9,73,-0.5840852740201536,0.19023003294953789,False,False,False,False,False,False,True,False,False,False,False,True,False
268,1.1486479745272633,0.6548433876161043,0,98,0.07366409098372745,0.5138252613246145,False,False,False,False,False,False,False,False,False,True,False,True,False
134,-0.9164543044022413,-0.7066392746783967,9,120,-0.9734058363397374,2.3560658836034247,False,False,False,False,False,False,False,True,False,False,False,True,False
12,-0.9164543044022413,-0.2528117205802297,9,20,0.3301790405517662,-1.2735698416359693,False,False,False,False,False,False,False,False,False,False,False,True,False
200,-0.4001787346698652,-0.7066392746783967,1,70,-0.5180968279226221,0.3674373270557505,False,False,False,False,False,False,False,False,True,False,False,False,False
267,1.1486479745272633,0.6548433876161043,9,78,-0.17603045665087927,0.26792828844004507,False,False,False,False,False,False,False,False,False,True,False,True,False
21,0.11609683506251094,2.470153604008772,9,70,2.2229954858222105,0.048886241311039906,False,False,False,False,False,False,False,False,False,False,False,True,False
100,2.1811991139920153,0.6548433876161043,1,71,0.33018258514641474,-0.6556903689642588,False,False,False,False,False,True,False,False,False,False,False,True,False
43,2.1811991139920153,0.6548433876161043,9,71,1.3127744992278274,2.5286099696173703,True,False,False,False,False,False,False,False,False,False,False,True,False
267,0.11609683506251094,-0.2528117205802297,0,78,-0.5700375317223774,-0.007402510630120278,False,False,False,False,False,False,False,False,False,True,False,True,False
213,0.11609683506251094,-0.2528117205802297,1,71,-0.23287551594924608,1.5195870384681076,False,False,False,False,False,False,False,False,True,False,False,False,True
253,-0.9164543044022413,-0.7066392746783967,9,120,-1.2109067930801054,-1.2735698416359693,False,False,False,False,False,False,False,False,False,True,False,True,False
115,2.1811991139920153,2.470153604008772,4,115,2.001213276994133,2.8370754762422576,False,False,False,False,False,True,False,False,False,False,False,False,False
